SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
ʏ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,0,0
ʏ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,0,0
ʏ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,-,-
ˌʏ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,+,-
ˈʏ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,+,+
ʏ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,-,-
ˌʏ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,+,-
ˈʏ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,-,-,-,-,+,+
e̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,0,0
ẽ̯,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,0,0
e,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,-,-
ˌe,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,+,-
ˈe,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,+,+
ẽ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,-,-
ˌẽ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,+,-
ˈẽ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,+,+
eː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,+,-,-,-
ˌeː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,+,-,+,-
ˈeː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,+,-,+,+
ẽː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,+,-,-,-
ˌẽː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,+,-,+,-
ˈẽː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,+,-,+,+
ø̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,0,0
ø̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,0,0
ø,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,-,-
ˌø,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,+,-
ˈø,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,+,+
ø̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,-,-
ˌø̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,+,-
ˈø̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,-,-,+,+
øː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,+,-,-,-
