etID  | Input | Late Latin | Old French I | Old French II | Middle French  | Output {GOLD}
90     | #ˌɑrd̪ˈeːsiɑm# | *#ˌɑrd̪ˈesʝɑ# | *#ˌard̪ˈejzə# | *#ˌard̪wˈɛzə# | *#ˌard̪wˈɛzə# | *#aʁd̪waz# {GOLD: #aʁd̪waz#}
91     | #ˈɑːreɑm# | *#ˈɑrʝɑ# | *#ˈajrə# | *#ˈɛrə# | *#ˈɛrə# | *#ɛʁ# {GOLD: #ɛʁ#}
92     | #ˌɑrewˈern̪iɑm# | *#ˌɑrɛβʷˈɛrn̪ʝɑ# | *#ˌaɫvˈɛrɲə# | *#ˌawvˈɛrɲə# | *#ˌoːvˈɛrɲə# | *#ovɛʁɲ# {GOLD: #ovɛʁɲ#}
93     | #ˌɑrɡˈen̪t̪um# | *#ˌɑrɟˈɛn̪t̪o# | *#ˌard͡ʒˈɛ̃n̪t̪# | *#ˌarʒˈãn̪t̪# | *#ˌarʒˈãːt̪# | *#aʁʒɑ̃# {GOLD: #aʁʒɑ̃#}
94     | #ˌɑrkˈɑːriɑm# | *#ˌɑrkˈɑrʝɑ# | *#ˌart͡ʃˈie̯rə# | *#ˌarʃjˈerə# | *#ˌarʃˈerə# | *#aʁʃɛʁ# {GOLD: #aʁʃɛʁ#}
95     | #ˌɑrkˈɑːrium# | *#ˌɑrkˈɑrʝo# | *#ˌart͡ʃˈie̯r# | *#ˌarʃjˈer# | *#ˌarʃˈer# | *#aʁʃe# {GOLD: #aʁʃe#}
96     | #ˈɑrkɑm# | *#ˈɑrkɑ# | *#ˈart͡ʃə# | *#ˈarʃə# | *#ˈarʃə# | *#aʁʃ# {GOLD: #aʁʃ#}
97     | #ˌɑrkˈellum# | *#ˌɑrcˈɛllo# | *#ˌart͡sʲˈɛl# | *#ˌarsʲe̯ˈaw# | *#ˌarsə̯ˈoː# | *#aʁso# {GOLD: #aʁso#}
98     | #ˌɑrkiˈoːn̪em# | *#ˌɑrcʝˈon̪ɛ# | *#ˌart͡sʲˈũn̪# | *#ˌarsʲˈũn̪# | *#ˌarsˈũː# | *#aʁsɔ̃# {GOLD: #aʁsɔ̃#}
99     | #ˈɑrkuːm# | *#ˈɑrku# | *#ˈark# | *#ˈark# | *#ˈark# | *#aʁk# {GOLD: #aʁk#}
100    | #ˌɑrmɑːt̪ˈuːrɑm# | *#ˌɑrmɑt̪ˈurɑ# | *#ˌarməðˈyrə# | *#ˌarməˈyrə# | *#ˌarmə̯ˈyrə# | *#aʁmyʁ# {GOLD: #aʁmyʁ#}
101    | #ɑrˈoːn̪eɑm# | *#ɑrˈon̪ʝɑ# | *#arˈũɲə# | *#arˈũɲə# | *#arˈũɲə# | *#aʁɔɲ# {GOLD: #ʁɔɲ#}
102    | #ˈɑrt̪em# | *#ˈɑrt̪ɛ# | *#ˈart̪# | *#ˈart̪# | *#ˈart̪# | *#aʁ# {GOLD: #aʁ#}
103    | #ˌɑrt̪ˈikulum# | *#ˌɑrt̪ˈeklo# | *#ˌart̪ˈeʎ# | *#ˌart̪ˈɛʎ# | *#ˌart̪ˈɛʎ# | *#aʁt̪ɛj# {GOLD: #ɔʁt̪ɛj#}
104    | #ˌɑsin̪ˈɑːrium# | *#ˌɑsen̪ˈɑrʝo# | *#ˌazn̪ˈie̯r# | *#ˌãn̪jˈer# | *#ˌãn̪jˈer# | *#an̪je# {GOLD: #an̪je#}
105    | #ˈɑsin̪um# | *#ˈɑsen̪o# | *#ˈazn̪ə# | *#ˈãn̪ə# | *#ˈãn̪ə# | *#an̪# {GOLD: #an̪#}
106    | #ɑt̪ˈɑwiɑm# | *#ɑt̪ˈɑʝɑ# | *#aðˈajə# | *#aˈajə# | *#aˈɛː# | *#aɛ# {GOLD: #t̪ɛ#}
107    | #ˌɑwˈeːn̪ɑm# | *#ˌɑβʷˈen̪ɑ# | *#ˌavˈojn̪ə# | *#ˌavwˈĩn̪ə# | *#ˌavwˈɛ̃n̪ə# | *#avwan̪# {GOLD: #avwan̪#}
108    | #ˌɑwɡust̪od̪ˈuːn̪um# | *#ˌɑwɣost̪ɔd̪ˈun̪o# | *#ˌɔst̪ˈyn̪# | *#ˌoːt̪ˈỹn̪# | *#ˌoːt̪ˈỹː# | *#ot̪œ̃# {GOLD: #ot̪œ̃#}
109    | #ˌɑwɡˈust̪um# | *#ˌɑɣˈost̪o# | *#ˌaˈost̪# | *#ˌaˈuːt̪# | *#ˈuːt̪# | *#ut̪# {GOLD: #ut̪#}
110    | #ˌɑwikˈelloːs# | *#ˌɑwcˈɛllos# | *#ˌɔjzˈɛɫs# | *#wˌɛze̯ˈaws# | *#wˌɛzə̯ˈoːs# | *#wazo# {GOLD: #wazo#}
111    | #ˌɑwikˈellum# | *#ˌɑwcˈɛllo# | *#ˌɔjzˈɛl# | *#wˌɛze̯ˈaw# | *#wˌɛzə̯ˈoː# | *#wazo# {GOLD: #wazo#}
112    | #ˌɑwiˈoːlɑm# | *#ˌɑʝˈolɑ# | *#ˌajˈowlə# | *#ˌajˈølə# | *#ˌajˈølə# | *#ajœl# {GOLD: #ajœl#}
113    | #ˌɑwiˈoːlum# | *#ˌɑʝˈolo# | *#ˌajˈowl# | *#ˌajˈølə# | *#ˌajˈølə# | *#ajœl# {GOLD: #ajœl#}
114    | #ˌɑwrˈikulɑm# | *#ˌɑwrˈeklɑ# | *#ˌɔrˈeʎə# | *#ˌɔrˈɛʎə# | *#ˌɔrˈɛʎə# | *#ɔʁɛj# {GOLD: #ɔʁɛj#}
115    | #ˈɑwrum# | *#ˈɑwro# | *#ˈɔr# | *#ˈɔr# | *#ˈɔr# | *#ɔʁ# {GOLD: #ɔʁ#}
116    | #ˌɑwsˈɑːre# | *#ˌɑwsˈɑrɛ# | *#ˌɔzˈeːr# | *#ˌɔzˈer# | *#ˌoːzˈer# | *#oze# {GOLD: #oze#}
117    | #ˌɑwskˌult̪ˈɑːre# | *#ˌɑskˌoɫt̪ˈɑrɛ# | *#ˌaskˌoɫt̪ˈeːr# | *#ˌaːkˌut̪ˈer# | *#ˌaːkˌut̪ˈer# | *#ɑkut̪e# {GOLD: #ekut̪e#}
118    | #ˈɑwt̪# | *#ˈɑwt̪# | *#ˈɔwθ# | *#ˈu# | *#ˈu# | *#u# {GOLD: #u#}
119    | #ˌɑwˈun̪kulum# | *#ˌɑˈoŋklo# | *#ˌaˈũŋklə# | *#ˌaˈũŋklə# | *#ˈũːklə# | *#ɔ̃kl# {GOLD: #ɔ̃kl#}
120    | #bˈɑd̪iɑm# | *#bˈɑʝʝɑ# | *#bˈajə# | *#bˈajə# | *#bˈɛː# | *#bɛ# {GOLD: #bɛ#}
121    | #bˈɑd̪ium# | *#bˈɑʝʝo# | *#bˈaj# | *#bˈɛ# | *#bˈɛ# | *#bɛ# {GOLD: #bɛ#}
122    | #bˈɑkɑm# | *#bˈɑkɑ# | *#bˈajə# | *#bˈajə# | *#bˈɛː# | *#bɛ# {GOLD: #bɛ#}
123    | #bˈɑkkum# | *#bˈɑkko# | *#bˈak# | *#bˈak# | *#bˈak# | *#bak# {GOLD: #bak#}
124    | #bˈɑln̪eoːs# | *#bˈɑn̪ʝos# | *#bˈãj̃n̪t͡sʲ# | *#bˈɛ̃j̃n̪sʲ# | *#bˈɛ̃ːs# | *#bɛ̃# {GOLD: #bɛ̃#}
125    | #bˈɑln̪eum# | *#bˈɑn̪ʝo# | *#bˈãj̃ɲ# | *#bˈɛ̃j̃ɲ# | *#bˈɛ̃ː# | *#bɛ̃# {GOLD: #bɛ̃#}
126    | #bˈɑlsɑmum# | *#bˈɑɫsɑmo# | *#bˈaɫmə# | *#bˈawmə# | *#bˈoːmə# | *#bom# {GOLD: #bom#}
127    | #bˈɑrbɑm# | *#bˈɑrbɑ# | *#bˈarbə# | *#bˈarbə# | *#bˈarbə# | *#baʁb# {GOLD: #baʁb#}
128    | #bˈɑrɡɑm# | *#bˈɑrɡɑ# | *#bˈard͡ʒə# | *#bˈarʒə# | *#bˈarʒə# | *#baʁʒ# {GOLD: #baʁʒ#}
